ds,yhat,yhat_lower,yhat_upper
2012-10-28,49275023.77627402,42613316.864305705,56304732.58450266
2012-11-04,50083601.77592045,42440377.92164492,56504582.499654464
2012-11-11,50395427.063724466,43335824.067969345,56915287.785875216
2012-11-18,49642347.13911747,42754068.37494812,56798545.18863901
2012-11-25,48716885.97135878,41730236.52589011,55935751.615037836
2012-12-02,48991613.39983133,42384945.90895299,56018400.10742054
2012-12-09,50439830.19807772,43217280.84477122,57389250.65291627
2012-12-16,51259648.959995806,44659835.77103966,58788504.441789344
2012-12-23,49799189.52999318,42663732.66849828,56715269.08276981
2012-12-30,46716945.68984578,39913576.33351056,53843594.74545086
2013-01-06,44718251.57608377,38486540.27721466,51448264.50616451
2013-01-13,45858632.13261795,38728038.33523864,52742011.504177615
